P (bars),Gas_wt,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,,,
10566.82,7.18E-09,0.0103826,6.14E-06,2.22E-12,0.966398,0.0224718,3.67E-09,0.000634558,6.43E-05,4.26E-05,0,,,
10566.32,7.18E-09,0.0103836,6.14E-06,2.22E-12,0.966397,0.0224719,3.67E-09,0.000634581,6.43E-05,4.26E-05,0,,,
10565.82,7.18E-09,0.0103846,6.14E-06,2.22E-12,0.966396,0.0224721,3.67E-09,0.000634604,6.43E-05,4.26E-05,0,,,
10565.32,7.18E-09,0.0103856,6.14E-06,2.22E-12,0.966395,0.0224722,3.68E-09,0.000634627,6.43E-05,4.26E-05,0,,,
10564.82,7.18E-09,0.0103866,6.15E-06,2.22E-12,0.966393,0.0224724,3.68E-09,0.00063465,6.43E-05,4.26E-05,0,,,
10564.32,7.18E-09,0.0103875,6.15E-06,2.22E-12,0.966392,0.0224725,3.68E-09,0.000634673,6.43E-05,4.26E-05,0,,,
10563.82,7.18E-09,0.0103885,6.15E-06,2.22E-12,0.966391,0.0224727,3.68E-09,0.000634696,6.43E-05,4.26E-05,0,,,
10563.32,7.18E-09,0.0103895,6.15E-06,2.22E-12,0.96639,0.0224729,3.68E-09,0.000634719,6.44E-05,4.26E-05,0,,,
10562.82,7.18E-09,0.0103905,6.15E-06,2.22E-12,0.966389,0.022473,3.68E-09,0.000634742,6.44E-05,4.26E-05,0,,,
10562.32,7.18E-09,0.0103915,6.15E-06,2.22E-12,0.966387,0.0224732,3.68E-09,0.000634766,6.44E-05,4.26E-05,0,,,
10561.82,7.18E-09,0.0103925,6.15E-06,2.22E-12,0.966386,0.0224733,3.68E-09,0.000634789,6.44E-05,4.26E-05,0,,,
10561.32,7.18E-09,0.0103934,6.15E-06,2.22E-12,0.966385,0.0224735,3.68E-09,0.000634812,6.44E-05,4.26E-05,0,,,
10560.82,7.18E-09,0.0103944,6.15E-06,2.22E-12,0.966384,0.0224736,3.68E-09,0.000634835,6.44E-05,4.26E-05,0,,,
10560.32,7.18E-09,0.0103954,6.15E-06,2.22E-12,0.966383,0.0224738,3.68E-09,0.000634858,6.44E-05,4.26E-05,0,,,
10559.82,7.18E-09,0.0103964,6.15E-06,2.22E-12,0.966382,0.0224739,3.68E-09,0.000634881,6.44E-05,4.26E-05,0,,,
10559.32,7.18E-09,0.0103974,6.15E-06,2.22E-12,0.96638,0.0224741,3.68E-09,0.000634904,6.44E-05,4.26E-05,0,,,
10558.82,7.18E-09,0.0103984,6.16E-06,2.22E-12,0.966379,0.0224742,3.68E-09,0.000634927,6.44E-05,4.26E-05,0,,,
10558.32,7.18E-09,0.0103993,6.16E-06,2.23E-12,0.966378,0.0224744,3.68E-09,0.00063495,6.44E-05,4.26E-05,0,,,
10557.82,7.18E-09,0.0104003,6.16E-06,2.23E-12,0.966377,0.0224745,3.68E-09,0.000634974,6.45E-05,4.26E-05,0,,,
10557.32,7.18E-09,0.0104013,6.16E-06,2.23E-12,0.966376,0.0224747,3.68E-09,0.000634997,6.45E-05,4.26E-05,0,,,
10556.82,7.18E-09,0.0104023,6.16E-06,2.23E-12,0.966375,0.0224749,3.68E-09,0.00063502,6.45E-05,4.26E-05,0,,,
10556.32,7.18E-09,0.0104033,6.16E-06,2.23E-12,0.966373,0.022475,3.68E-09,0.000635043,6.45E-05,4.26E-05,0,,,
10555.82,7.18E-09,0.0104043,6.16E-06,2.23E-12,0.966372,0.0224752,3.68E-09,0.000635066,6.45E-05,4.26E-05,0,,,
10555.32,7.18E-09,0.0104052,6.16E-06,2.23E-12,0.966371,0.0224753,3.69E-09,0.000635089,6.45E-05,4.26E-05,0,,,
10554.82,7.18E-09,0.0104062,6.16E-06,2.23E-12,0.96637,0.0224755,3.69E-09,0.000635112,6.45E-05,4.26E-05,0,,,
10554.32,7.18E-09,0.0104072,6.16E-06,2.23E-12,0.966369,0.0224756,3.69E-09,0.000635135,6.45E-05,4.26E-05,0,,,
10553.82,7.18E-09,0.0104082,6.16E-06,2.23E-12,0.966368,0.0224758,3.69E-09,0.000635159,6.45E-05,4.26E-05,0,,,
10553.32,7.18E-09,0.0104092,6.16E-06,2.23E-12,0.966366,0.0224759,3.69E-09,0.000635182,6.45E-05,4.26E-05,0,,,
10552.82,7.18E-09,0.0104102,6.17E-06,2.23E-12,0.966365,0.0224761,3.69E-09,0.000635205,6.45E-05,4.26E-05,0,,,
10552.32,7.18E-09,0.0104112,6.17E-06,2.23E-12,0.966364,0.0224762,3.69E-09,0.000635228,6.46E-05,4.26E-05,0,,,
10551.82,7.18E-09,0.0104121,6.17E-06,2.23E-12,0.966363,0.0224764,3.69E-09,0.000635251,6.46E-05,4.26E-05,0,,,
10551.32,7.18E-09,0.0104131,6.17E-06,2.23E-12,0.966362,0.0224766,3.69E-09,0.000635274,6.46E-05,4.26E-05,0,,,
10550.82,7.18E-09,0.0104141,6.17E-06,2.23E-12,0.966361,0.0224767,3.69E-09,0.000635297,6.46E-05,4.26E-05,0,,,
10550.32,7.18E-09,0.0104151,6.17E-06,2.23E-12,0.966359,0.0224769,3.69E-09,0.000635321,6.46E-05,4.26E-05,0,,,
10549.82,7.17E-09,0.0104161,6.17E-06,2.23E-12,0.966358,0.022477,3.69E-09,0.000635344,6.46E-05,4.26E-05,0,,,
10549.32,7.17E-09,0.0104171,6.17E-06,2.23E-12,0.966357,0.0224772,3.69E-09,0.000635367,6.46E-05,4.26E-05,0,,,
10548.82,7.17E-09,0.0104181,6.17E-06,2.23E-12,0.966356,0.0224773,3.69E-09,0.00063539,6.46E-05,4.26E-05,0,,,
10548.32,7.17E-09,0.010419,6.17E-06,2.23E-12,0.966355,0.0224775,3.69E-09,0.000635413,6.46E-05,4.26E-05,0,,,
10547.82,7.17E-09,0.01042,6.17E-06,2.23E-12,0.966353,0.0224776,3.69E-09,0.000635436,6.46E-05,4.26E-05,0,,,
10547.32,7.17E-09,0.010421,6.17E-06,2.23E-12,0.966352,0.0224778,3.69E-09,0.000635459,6.46E-05,4.26E-05,0,,,
